epoch,train_loss,valid_loss,accuracy,snake_score,top_3,f1_score,time
0,20.666988,15.319055,0.257351,11957,0.409194,0.072127,55:36
1,12.915136,11.969686,0.369504,9824,0.543468,0.153205,55:37
2,9.922891,10.466768,0.431497,8915,0.606190,0.209349,55:37
3,8.088909,9.540032,0.467638,8454,0.640692,0.238793,55:38
4,6.789305,8.868273,0.489759,7773,0.666272,0.269062,55:38
5,5.729934,8.507091,0.503414,7484,0.677742,0.287145,55:38
6,4.855323,8.333591,0.519345,7385,0.686573,0.300417,55:39
7,4.104220,8.259909,0.524989,7485,0.699044,0.311981,55:39
8,3.444431,8.075300,0.530724,7279,0.702777,0.320616,55:39
9,2.864376,8.001288,0.534547,7130,0.707510,0.327239,55:40
10,2.373307,8.044964,0.536641,7274,0.708512,0.334543,55:40
11,1.934753,7.982526,0.538917,7256,0.708967,0.335599,55:40
12,1.598252,8.011745,0.541375,7282,0.714520,0.342367,55:40
13,1.318097,8.024176,0.541284,7341,0.716431,0.344730,55:40
14,1.076145,7.947238,0.545107,7168,0.718343,0.343286,55:39
15,0.939981,8.004159,0.551297,7169,0.716978,0.352608,55:40
16,0.850192,8.073467,0.547656,7298,0.713792,0.348245,55:40
17,0.774701,8.008238,0.550296,7168,0.717797,0.350536,55:39
18,0.731611,8.020422,0.552663,7154,0.716523,0.353976,55:39
19,0.693063,8.001561,0.551752,7043,0.718707,0.352061,55:41
20,0.661460,8.077627,0.549932,7218,0.719162,0.348803,55:39
21,0.640786,8.060234,0.551388,7165,0.719162,0.352586,55:40
