epoch,train_loss,valid_loss,accuracy,snake_score,top_3,f1_score,time
0,15.894209,15.798057,0.234070,5593,0.377816,0.122774,38:33
1,7.103995,13.822586,0.322678,5055,0.497962,0.173690,38:17
2,5.142549,12.959038,0.330187,4739,0.523278,0.177408,38:21
3,4.035377,12.728524,0.372238,4643,0.545377,0.199121,38:17
4,3.325548,13.356910,0.362583,4730,0.543231,0.198283,38:26
5,2.825940,12.502369,0.379532,4706,0.570908,0.201470,38:18
6,2.412772,12.758637,0.388972,4619,0.573482,0.208505,38:17
7,2.115340,12.947457,0.393692,4448,0.561253,0.212404,38:17
8,1.778513,12.720464,0.386398,4530,0.552457,0.207903,38:17
9,1.546226,12.661256,0.397125,4500,0.596009,0.213031,38:16
10,1.309614,12.317436,0.399056,4415,0.589144,0.209799,38:18
11,1.153447,12.035542,0.417078,4217,0.591719,0.220080,38:17
12,1.066161,12.213972,0.406351,4238,0.590646,0.215553,38:17
13,0.981563,11.990215,0.416649,4478,0.597297,0.224890,38:17
14,0.908548,12.113617,0.415362,4333,0.597940,0.222176,38:17
15,0.849541,12.130504,0.425231,4139,0.601159,0.229581,38:17
16,0.784690,11.690699,0.426732,4064,0.605449,0.232209,38:16
17,0.720239,11.366076,0.432740,4004,0.609097,0.228999,38:17
