epoch,train_loss,valid_loss,accuracy,snake_score,top_3,f1_score,time
0,11.659425,15.750062,0.240809,3693,0.404412,0.207884,06:29
1,4.658828,15.225297,0.272794,3592,0.432721,0.232245,06:29
2,3.157555,15.366347,0.321691,3556,0.478309,0.281177,06:28
3,2.501292,14.738398,0.328676,3186,0.483456,0.274237,06:28
4,1.904138,15.917074,0.302206,3479,0.485662,0.248447,06:29
5,1.563834,16.019093,0.334191,3312,0.481985,0.279645,06:29
6,1.151030,16.045907,0.354779,3138,0.491176,0.297383,06:29
7,0.919892,15.493290,0.337132,3128,0.497426,0.280282,06:29
8,0.730546,15.634083,0.366176,3032,0.501471,0.310988,06:29
9,0.645041,15.267384,0.369853,2908,0.514706,0.322793,06:29
10,0.553618,15.693786,0.372794,3123,0.519485,0.321106,06:28
11,0.455675,15.629430,0.360662,3052,0.516544,0.312398,06:29
12,0.403933,15.300201,0.383088,2945,0.512500,0.324761,06:29
13,0.374026,15.222705,0.375735,3129,0.524632,0.312739,06:29
14,0.353294,15.525430,0.403309,2904,0.527941,0.343716,06:28
15,0.316120,15.507932,0.361029,3089,0.530515,0.312379,06:29
16,0.298750,15.630832,0.357353,3020,0.512132,0.310613,06:29
17,0.290737,15.522305,0.363235,3006,0.526471,0.309145,06:29
18,0.277823,14.843695,0.387500,2969,0.523529,0.324872,06:29
19,0.276603,14.983644,0.378676,3089,0.529044,0.314362,06:29
20,0.272561,14.538789,0.393015,2946,0.555515,0.327808,06:29
21,0.264260,14.981080,0.393015,3005,0.544485,0.328692,06:28
22,0.254549,14.642156,0.384559,3008,0.530515,0.322659,06:28
23,0.251784,14.911836,0.377941,3167,0.526103,0.317780,06:28
24,0.246695,14.794863,0.380147,2928,0.523162,0.328586,06:29
25,0.246649,14.881197,0.376838,3028,0.523897,0.323966,06:28
26,0.245116,15.094842,0.367279,3117,0.516912,0.308930,06:29
